h1,h2,h3,h4
12.26365611,12.78193903,1.633941136,1.409044688
12.26364507,12.78195249,1.633941136,1.409044688
12.2636342,12.78196579,1.633941135,1.409044689
12.26362351,12.78197895,1.633941135,1.409044689
12.26361299,12.78199197,1.633941135,1.40904469
12.26360264,12.78200484,1.633941135,1.40904469
12.26359246,12.78201756,1.633941135,1.40904469
12.26358243,12.78203015,1.633941135,1.409044691
12.26357257,12.7820426,1.633941135,1.409044691
12.26356287,12.78205491,1.633941135,1.409044692
12.26355332,12.78206709,1.633941134,1.409044692
12.26354393,12.78207913,1.633941134,1.409044692
12.26353469,12.78209104,1.633941134,1.409044693
12.26352559,12.78210281,1.633941134,1.409044693
12.26351664,12.78211446,1.633941134,1.409044693
12.26350783,12.78212598,1.633941134,1.409044694
12.26349917,12.78213737,1.633941134,1.409044694
12.26349064,12.78214864,1.633941134,1.409044694
12.26348225,12.78215978,1.633941134,1.409044694
12.263474,12.7821708,1.633941134,1.409044695
12.26346588,12.78218169,1.633941134,1.409044695
12.26345789,12.78219247,1.633941134,1.409044695
12.26345002,12.78220313,1.633941134,1.409044695
12.26344228,12.78221367,1.633941134,1.409044696
12.26343467,12.78222409,1.633941133,1.409044696
12.26342718,12.7822344,1.633941133,1.409044696
12.26341981,12.7822446,1.633941133,1.409044696
12.26341255,12.78225468,1.633941133,1.409044697
12.26340542,12.78226465,1.633941133,1.409044697
12.26339839,12.78227451,1.633941133,1.409044697
12.26339148,12.78228427,1.633941133,1.409044697
12.26338469,12.78229391,1.633941133,1.409044697
12.263378,12.78230345,1.633941133,1.409044697
12.26337141,12.78231288,1.633941133,1.409044698
12.26336494,12.78232221,1.633941133,1.409044698
12.26335856,12.78233144,1.633941133,1.409044698
12.26335229,12.78234056,1.633941133,1.409044698
12.26334612,12.78234959,1.633941133,1.409044698
12.26334005,12.78235851,1.633941133,1.409044698
12.26333408,12.78236734,1.633941133,1.409044699
12.2633282,12.78237607,1.633941133,1.409044699
12.26332241,12.7823847,1.633941133,1.409044699
12.26331672,12.78239323,1.633941133,1.409044699
12.26331112,12.78240168,1.633941133,1.409044699
12.26330561,12.78241003,1.633941133,1.409044699
12.26330019,12.78241828,1.633941133,1.409044699
12.26329485,12.78242645,1.633941133,1.409044699
12.2632896,12.78243453,1.633941133,1.409044699
12.26328444,12.78244251,1.633941133,1.4090447
12.26327936,12.78245041,1.633941133,1.4090447
12.26327436,12.78245823,1.633941133,1.4090447
12.26326944,12.78246595,1.633941133,1.4090447
12.26326459,12.78247359,1.633941133,1.4090447
12.26325983,12.78248115,1.633941133,1.4090447
12.26325514,12.78248862,1.633941133,1.4090447
12.26325053,12.78249601,1.633941133,1.4090447
12.26324599,12.78250332,1.633941133,1.4090447
12.26324153,12.78251055,1.633941133,1.4090447
12.26323713,12.7825177,1.633941133,1.4090447
12.26323281,12.78252476,1.633941133,1.409044701
12.26322855,12.78253176,1.633941132,1.409044701
12.26322437,12.78253867,1.633941132,1.409044701
12.26322025,12.78254551,1.633941132,1.409044701
12.26321619,12.78255227,1.633941132,1.409044701
12.26321221,12.78255896,1.633941132,1.409044701
12.26320828,12.78256557,1.633941132,1.409044701
12.26320442,12.78257211,1.633941132,1.409044701
12.26320062,12.78257858,1.633941132,1.409044701
12.26319688,12.78258498,1.633941132,1.409044701
12.26319321,12.78259131,1.633941132,1.409044701
12.26318959,12.78259757,1.633941132,1.409044701
12.26318603,12.78260375,1.633941132,1.409044701
12.26318252,12.78260987,1.633941132,1.409044701
12.26317907,12.78261593,1.633941132,1.409044701
12.26317568,12.78262191,1.633941132,1.409044701
12.26317234,12.78262783,1.633941132,1.409044701
12.26316906,12.78263369,1.633941132,1.409044701
12.26316583,12.78263948,1.633941132,1.409044701
12.26316265,12.7826452,1.633941132,1.409044701
12.26315952,12.78265086,1.633941132,1.409044702
12.26315644,12.78265646,1.633941132,1.409044702
12.26315341,12.782662,1.633941132,1.409044702
12.26315043,12.78266748,1.633941132,1.409044702
12.26314749,12.7826729,1.633941132,1.409044702
12.26314461,12.78267825,1.633941132,1.409044702
12.26314177,12.78268355,1.633941132,1.409044702
12.26313897,12.78268879,1.633941132,1.409044702
12.26313622,12.78269397,1.633941132,1.409044702
12.26313352,12.7826991,1.633941132,1.409044702
12.26313086,12.78270416,1.633941132,1.409044702
12.26312824,12.78270918,1.633941132,1.409044702
12.26312566,12.78271413,1.633941132,1.409044702
12.26312312,12.78271903,1.633941132,1.409044702
12.26312063,12.78272388,1.633941132,1.409044702
12.26311817,12.78272868,1.633941132,1.409044702
12.26311576,12.78273342,1.633941132,1.409044702
12.26311338,12.78273811,1.633941132,1.409044702
12.26311104,12.78274275,1.633941132,1.409044702
12.26310874,12.78274733,1.633941132,1.409044702
12.26310647,12.78275187,1.633941132,1.409044702
12.26310424,12.78275635,1.633941132,1.409044702
12.26310205,12.78276079,1.633941132,1.409044702
12.26309989,12.78276518,1.633941132,1.409044702
12.26309777,12.78276952,1.633941132,1.409044702
12.26309568,12.78277381,1.633941132,1.409044702
12.26309363,12.78277805,1.633941132,1.409044702
12.26309161,12.78278225,1.633941132,1.409044702
12.26308962,12.7827864,1.633941132,1.409044702
12.26308766,12.7827905,1.633941132,1.409044702
12.26308573,12.78279456,1.633941132,1.409044702
12.26308383,12.78279858,1.633941132,1.409044702
12.26308197,12.78280255,1.633941132,1.409044702
12.26308013,12.78280647,1.633941132,1.409044702
12.26307833,12.78281036,1.633941132,1.409044702
12.26307655,12.7828142,1.633941132,1.409044702
12.2630748,12.78281799,1.633941132,1.409044702
12.26307308,12.78282175,1.633941132,1.409044702
12.26307139,12.78282546,1.633941132,1.409044702
12.26306972,12.78282914,1.633941132,1.409044702
12.26306808,12.78283277,1.633941132,1.409044702
12.26306647,12.78283636,1.633941132,1.409044702
12.26306488,12.78283992,1.633941132,1.409044702
12.26306332,12.78284343,1.633941132,1.409044702
12.26306179,12.78284691,1.633941132,1.409044702
12.26306028,12.78285034,1.633941132,1.409044702
12.26305879,12.78285374,1.633941132,1.409044702
12.26305732,12.7828571,1.633941132,1.409044702
12.26305588,12.78286043,1.633941132,1.409044702
12.26305447,12.78286372,1.633941132,1.409044702
12.26305307,12.78286697,1.633941132,1.409044702
12.2630517,12.78287018,1.633941132,1.409044702
12.26305035,12.78287336,1.633941132,1.409044702
12.26304902,12.78287651,1.633941132,1.409044702
12.26304771,12.78287962,1.633941132,1.409044702
12.26304643,12.7828827,1.633941132,1.409044702
12.26304516,12.78288574,1.633941132,1.409044702
12.26304392,12.78288875,1.633941132,1.409044702
12.26304269,12.78289172,1.633941132,1.409044702
12.26304149,12.78289466,1.633941132,1.409044702
12.2630403,12.78289757,1.633941132,1.409044702
12.26303913,12.78290045,1.633941132,1.409044702
12.26303799,12.7829033,1.633941132,1.409044702
12.26303686,12.78290611,1.633941132,1.409044702
12.26303574,12.7829089,1.633941132,1.409044702
12.26303465,12.78291165,1.633941132,1.409044702
12.26303357,12.78291437,1.633941132,1.409044702
12.26303251,12.78291707,1.633941132,1.409044702
12.26303147,12.78291973,1.633941132,1.409044702
12.26303045,12.78292236,1.633941132,1.409044702
12.26302944,12.78292497,1.633941132,1.409044702
12.26302844,12.78292754,1.633941132,1.409044702
12.26302747,12.78293009,1.633941132,1.409044702
12.26302651,12.78293261,1.633941132,1.409044702
12.26302556,12.7829351,1.633941132,1.409044702
12.26302463,12.78293756,1.633941132,1.409044702
12.26302371,12.78294,1.633941132,1.409044702
12.26302281,12.78294241,1.633941132,1.409044702
12.26302192,12.78294479,1.633941132,1.409044702
12.26302105,12.78294715,1.633941132,1.409044702
12.26302019,12.78294948,1.633941132,1.409044702
12.26301935,12.78295179,1.633941132,1.409044702
